Question, Option A, Option B, Option C, Option D, Correct Option
What is the capital city of Pakistan?,Karachi,Lahore,Islamabad,Quetta,C
Who is the current Prime Minister of Pakistan?,Imran Khan,Nawaz Sharif,Asif Ali Zardari,Benazir Bhutto,A
What is the official language of Pakistan?,Urdu,Punjabi,Sindhi,Pashto,A
In which year did Pakistan gain independence?,1947,1950,1960,1970,A
Which river is the longest in Pakistan?,Indus,Jhelum,Chenab,Ravi,A
Who is the founder of Pakistan?,Allama Iqbal,Muhammad Ali Jinnah,Liaquat Ali Khan,Zulfikar Ali Bhutto,B
What is the national flower of Pakistan?,Rose,Lily,Jasmine,Sunflower,C
Which mountain range is located in the northern part of Pakistan?,Himalayas,Karakoram,Hindu Kush,Sulaiman,B
What is the main crop of Pakistan?,Wheat,Rice,Sugarcane,Cotton,A
Who is known as the 'Father of the Nation' in Pakistan?,Allama Iqbal,Liaquat Ali Khan,Benazir Bhutto,Muhammad Ali Jinnah,D
Which city is known as the 'City of Gardens' in Pakistan?,Lahore,Karachi,Islamabad,Peshawar,A
Who is the current President of Pakistan?,Arif Alvi,Mamnoon Hussain,Asif Ali Zardari,Pervez Musharraf,A
What is the national emblem of Pakistan?,Star and Crescent,Minar-e-Pakistan,Crescent and Star,Markhor,D
Which province of Pakistan is known as the 'Land of Five Rivers'?,Punjab,Sindh,Balochistan,Khyber Pakhtunkhwa,A
In which year was the first constitution of Pakistan adopted?,1956,1962,1973,1980,C
Who is the national poet of Pakistan?,Faiz Ahmed Faiz,Allama Iqbal,Mirza Ghalib,Hafeez Jullundhri,B
What is the traditional dress for men in Pakistan?,Sherwani,Shalwar Kameez,Kurta Pajama,Dhoti,B
Which Pakistani city is known as the 'City of Lights'?,Karachi,Lahore,Islamabad,Rawalpindi,A
Who is the first female Prime Minister of Pakistan?,Benazir Bhutto,Fatima Jinnah,Asma Jahangir,Hina Rabbani Khar,A
In which city is the Pakistan Monument located?,Islamabad,Lahore,Karachi,Quetta,A
Which Pakistani cricketer has the most centuries in Test cricket?,Younis Khan,Inzamam-ul-Haq,Javed Miandad,Misbah-ul-Haq,A
What is the nickname of the Pakistan national cricket team?,Green Shirts,Blue Tigers,Men in Blue,Yellow Caps,A
Who is the highest run-scorer in ODIs for Pakistan?,Saeed Anwar,Shoaib Malik,Inzamam-ul-Haq,Mohammad Yousuf,A
Which Pakistani bowler has the most wickets in Test cricket?,Wasim Akram,Imran Khan,Waqar Younis,Yasir Shah,D
In which year did Pakistan win its first Cricket World Cup?,1987,1992,1996,1999,B
Who is known as the 'Rawalpindi Express' in cricket?,Shoaib Akhtar,Waqar Younis,Wasim Akram,Imran Khan,A
Which traditional Pakistani musical instrument is often associated with Sufi music?,Dholak,Tabla,Sitar,Sarangi,B
What is the traditional dance of the Punjabi people in Pakistan?,Kathak,Bharatanatyam,Bhangra,Odissi,C
Which Pakistani actress won an Academy Award (Oscar) for Best Supporting Actress?,Mahira Khan,Meera,Sajal Aly,Sharmeen Obaid-Chinoy,D
Who is the renowned Pakistani physicist known for his contributions to the field of theoretical physics?,Pervez Hoodbhoy,Abdus Salam,Atiyah Abd al-Rahman,Ishfaq Ahmad,B
Which ancient archaeological site in Pakistan is known for its well-planned city and advanced drainage system?,Harappa,Mohenjo-daro,Taxila,Chanhudaro,B
Which famous mountain pass connects Pakistan with Afghanistan?,Khyber Pass,Bolan Pass,Gomal Pass,Lowari Pass,A
What is the name of the desert located in the southeastern part of Pakistan?,Cholistan Desert,Thar Desert,Karakum Desert,Sind Desert,B
Which Pakistani author wrote the novel 'The Reluctant Fundamentalist'?,Kamila Shamsie,Mohsin Hamid,Daniyal Mueenuddin,Fatima Bhutto,B
Which river marks the eastern border of Pakistan?,Indus,Jhelum,Chenab,Sutlej,D
In which year did Pakistan become a republic?,1947,1956,1971,1980,B
What is the literacy rate of Pakistan?,55%,65%,75%,85%,C
Which Pakistani scientist is known for his contributions to the field of space science and technology?,Abdul Sattar Edhi,Pervez Musharraf,Abdul Qadeer Khan,Malala Yousafzai,C
"Which Pakistani city is famous for its historical bazaars, including Qissa Khwani Bazaar and Namak Mandi?",Multan,Peshawar,Faisalabad,Hyderabad,B
Who is the first Pakistani woman to climb Mount Everest?,Naseer Uddin Nasir,Samina Baig,Tariq Siddiqi,Nazir Sabir,B
What is the main export of Pakistan?,Textiles,Petroleum,Information Technology,Pharmaceuticals,A
Which mountain in Pakistan is the second-highest peak in the world?,Nanga Parbat,K2,Rakaposhi,Tirich Mir,B
Which Pakistani cricketer holds the record for the highest individual score in Test cricket?,Younis Khan,Hanif Mohammad,Inzamam-ul-Haq,Fakhar Zaman,B
"In which city is the Badshahi Mosque, one of the largest mosques in the world, located?",Lahore,Islamabad,Karachi,Peshawar,A
Who is the famous Pakistani philanthropist known for establishing the Edhi Foundation?,Malala Yousafzai,Imran Khan,Abdul Sattar Edhi,Asma Jahangir,C
"What is the traditional headgear worn by men in Pakistan, especially in rural areas?",Topi,Turban,Cap,Pakol,A
Which Pakistani city is known for its distinct blue pottery?,Lahore,Multan,Karachi,Peshawar,B
Who is the first Nobel laureate from Pakistan?,Malala Yousafzai,Abdus Salam,Imran Khan,Abdul Sattar Edhi,B
In which year did Pakistan win its first Olympic gold medal in field hockey?,1948,1952,1956,1960,A
Which river flows through the famous Kaghan Valley in Pakistan?,Jhelum,Kunhar,Chenab,Swat,B
Who is the legendary Pakistani squash player known as the 'King of Squash'?,Jahangir Khan,Amr Shabana,Ramy Ashour,Jansher Khan,A
"Which Pakistani artist is known for his Sufi music and qawwali, especially the track 'Dama Dam Mast Qalandar'?",Atif Aslam,Rahat Fateh Ali Khan,Nusrat Fateh Ali Khan,Ali Zafar,C
"What is the traditional sweet dish of Pakistan made from condensed milk and sugar, often garnished with pistachios and almonds?",Jalebi,Gulab Jamun,Barfi,Sohan Halwa,D
Which Pakistani politician and former cricketer is the founder of the political party Pakistan Tehreek-e-Insaf (PTI)?,Imran Khan,Nawaz Sharif,Asif Ali Zardari,Shehbaz Sharif,A
In which year did Pakistan become a member of the United Nations?,1945,1947,1950,1956,A
Which Pakistani actress is known for her role in the TV drama 'Humsafar' and the film 'Bin Roye'?,Mahira Khan,Sajal Aly,Ayeza Khan,Mawra Hocane,A
"Which famous ancient trade route passed through Pakistan, connecting the East to the West?",Silk Road,Trans-Saharan Trade Route,Amber Road,Salt Route,A
What is the main source of energy production in Pakistan?,Hydropower,Wind Energy,Coal,Solar Energy,C
Which Pakistani scientist played a crucial role in the development of the first successful atomic bomb?,Pervez Musharraf,Abdul Qadeer Khan,Abdus Salam,Malala Yousafzai,B
Which city is known as the 'City of Saints' in Pakistan due to its numerous shrines and Sufi heritage?,Multan,Lahore,Karachi,Faisalabad,A
Who is the current Chief of Army Staff of Pakistan?,General Qamar Javed Bajwa,General Raheel Sharif,General Ashfaq Parvez Kayani,General Pervez Musharraf,A
What is the national tree of Pakistan?,Banyan,Neem,Deodar,Pine,C
Which Pakistani actress is known for her performance in the film 'Verna' and activism for women's rights?,Saba Qamar,Mahira Khan,Meera,Mehwish Hayat,D
In which year did Pakistan win the ICC T20 Cricket World Cup?,2007,2009,2011,2016,B
Which Pakistani cricketer has the most wickets in ODIs for Pakistan?,Wasim Akram,Waqar Younis,Shahid Afridi,Shoaib Akhtar,C
What is the currency of Pakistan?,Rupiah,Rupee,Ringgit,Riel,B
Which mountain range separates Pakistan from China?,Himalayas,Karakoram,Hindu Kush,Pamir,B
What is the traditional Pashtun attire worn by men in Pakistan's Khyber Pakhtunkhwa province?,Kurta Shalwar,Sherwani,Pakol,Lungi,C
In which city is the Pakistan Air Force Academy located?,Rawalpindi,Islamabad,Lahore,Peshawar,A
Who is the famous Pakistani singer known for his Qawwali music and hits like 'Tere Bin Nahin Lagda' and 'Tum Jo Aaye'?,Atif Aslam,Rahat Fateh Ali Khan,Ali Zafar,Abida Parveen,B
Which Pakistani city is known for its handmade carpets and is a UNESCO World Heritage Site?,Karachi,Lahore,Islamabad,Multan,B
Who is the first Pakistani woman to win a Nobel Prize?,Asma Jahangir,Malala Yousafzai,Benazir Bhutto,Abdus Salam,B
Which province of Pakistan is known for its rich cultural heritage and ancient archaeological sites like Mohenjo-daro?,Punjab,Sindh,Khyber Pakhtunkhwa,Balochistan,B
Who is the Pakistani author of the novel 'A Case of Exploding Mangoes'?,Mohsin Hamid,Kamila Shamsie,Hanif Kureishi,Mohammed Hanif,D
In which city is the National Art Gallery of Pakistan located?,Islamabad,Lahore,Karachi,Quetta,A
