Question,Option A,Option B,Option C,Option D,Correct Answer
What is the capital city of Pakistan?,Karachi,Lahore,Islamabad,Quetta,C
Which river is the longest in Pakistan?,Indus River,Jhelum River,Chenab River,Ravi River,A
What is the official language of Pakistan?,Urdu,Sindhi,Punjabi,Balochi,A
In which year did Pakistan gain independence?,1945,1947,1950,1952,B
What is the national currency of Pakistan?,Rupee,Rial,Dinar,Taka,A
Which mountain range is located in the northern part of Pakistan?,Himalayas,Karakoram Range,Hindu Kush,Pamir Mountains,B
Who is the founder of Pakistan?,Allama Iqbal,Muhammad Ali Jinnah,Liaquat Ali Khan,Benazir Bhutto,B
What is the highest mountain in Pakistan?,K2,Nanga Parbat,Gasherbrum I,Trango Towers,A
Which desert is located in the southeastern part of Pakistan?,Thar Desert,Cholistan Desert,Kharan Desert,Nushki Desert,A
Which sea is to the south of Pakistan?,Arabian Sea,Persian Gulf,Bay of Bengal,Red Sea,A
What is the national flower of Pakistan?,Jasmine,Rose,Lily,Sunflower,A
"Which cricket stadium in Pakistan is known as the ""Rawalpindi Cricket Stadium""?",Gaddafi Stadium,National Stadium Karachi,Rawalpindi Cricket Stadium,Multan Cricket Stadium,C
What is the name of the traditional Pakistani dress for men?,Sherwani,Shalwar Kameez,Kurti,Lehenga,B
"Which province is known as the ""Land of Five Rivers""?",Sindh,Punjab,Balochistan,Khyber Pakhtunkhwa,B
"Which Pakistani city is known as the ""City of Lights""?",Lahore,Islamabad,Karachi,Peshawar,C
In which year did Pakistan become a republic?,1947,1956,1962,1971,B
"Which Pakistani scientist is known as the ""Father of the Pakistani Nuclear Program""?",Dr. Abdul Qadeer Khan,Dr. Abdul Sattar Edhi,Malala Yousafzai,Pervez Musharraf,A
Which is the largest city in Pakistan by population?,Lahore,Karachi,Islamabad,Faisalabad,B
What is the national animal of Pakistan?,Markhor,Lion,Deer,Cheetah,A
Which mountain pass connects Pakistan and Afghanistan?,Bolan Pass,Khyber Pass,Lowari Pass,Malakand Pass,B
Which Pakistani cricketer has the most Test wickets?,Wasim Akram,Imran Khan,Waqar Younis,Yasir Shah,C
What is the name of the famous mosque in Lahore Pakistan?,Faisal Mosque,Badshahi Mosque,Grand Jamia Mosque,Shah Jahan Mosque,B
"Which province of Pakistan is known for its fruit orchards and is often referred to as the ""Fruit Garden of Pakistan""?",Punjab,Sindh,Khyber Pakhtunkhwa,Balochistan,C
What is the name of the traditional Pakistani bread?,Roti,Naan,Paratha,Chapati,A
Which river does the Tarbela Dam one of the largest earth-filled dams in the world span?,Indus River,Jhelum River,Chenab River,Ravi River,A
What is the name of the highest paved international road in Pakistan?,Karakoram Highway,Bab-e-Khyber Pass,Malakand Pass,Grand Trunk Road,A
Which Pakistani female education activist was awarded the Nobel Peace Prize in 2014?,Asma Jahangir,Malala Yousafzai,Benazir Bhutto,Abdus Sattar Edhi,B
What is the national tree of Pakistan?,Bamboo,Neem,Pine,Deodar,D
Which lake is the highest in Pakistan and is also one of the highest in the world?,Saif-ul-Mulook Lake,Attabad Lake,Satpara Lake,Sheeshnag Lake,A
"Which Pakistani singer is known as the ""Queen of Melody""?",Nusrat Fateh Ali Khan,Abida Parveen,Noor Jehan,Atif Aslam,C
What is the official name of Pakistan?,Islamic Republic of Pakistan,Pakistani Republic,Republic of Pakistan,Pakistan Union,A
